id,accid,cost,info,createdate
86,9131602584,20000000,پرداخت شارژ ساختمان,2019-7-20
87,9131602584,3000000,پرداخت شارژ ساختمان,2019-8-12
88,9131602584,5000000,پرداخت شارژ ساختمان,2019-9-12
89,9131602584,3000000,پرداخت شارژ ساختمان,2019-10-15
90,9131602584,10000000,پرداخت شارژ ساختمان,2019-11-19
91,9131602584,900000,پرداخت شارژ ساختمان,2019-12-11
92,9131602584,100000,پرداخت شارژ ساختمان,2020-1-13
93,9131602584,1000000,پرداخت شارژ ساختمان,2020-2-12
94,9131602584,3000000,پرداخت شارژ ساختمان,2020-3-19
95,9131602584,8000000,پرداخت شارژ ساختمان,2020-4-12
96,9131602584,200000,پرداخت شارژ ساختمان,2020-5-20
97,9131602584,3000000,پرداخت شارژ ساختمان,2020-6-14
98,9131602584,20000000,پرداخت شارژ ساختمان,2020-7-18
99,9131602584,4000000,پرداخت شارژ ساختمان,2020-8-12
100,9131602584,700000,پرداخت شارژ ساختمان,2020-9-10
101,9131602584,6000000,پرداخت شارژ ساختمان,2020-10-16
102,9131602584,60000000,پرداخت شارژ ساختمان,2020-11-12
103,9131602584,6000000,پرداخت شارژ ساختمان,2020-12-19
104,9131602584,8000000,پرداخت شارژ ساختمان,2021-1-20
105,9131602584,6000000,پرداخت شارژ ساختمان,2021-2-12
106,9131602584,700000,پرداخت شارژ ساختمان,2021-3-11
107,9131602584,7000000,پرداخت شارژ ساختمان,2021-4-15
108,9131602584,60000000,پرداخت شارژ ساختمان,2021-5-11
109,9131602584,1000000,پرداخت شارژ ساختمان,2021-6-16
110,9131602584,10000000,پرداخت شارژ ساختمان,2021-7-16
111,9131602584,10000000,پرداخت شارژ ساختمان,2021-8-13
112,9131602584,4000000,پرداخت شارژ ساختمان,2021-9-13
113,9131602584,10000000,پرداخت شارژ ساختمان,2021-10-20
114,9131602584,200000,پرداخت شارژ ساختمان,2021-11-11
115,9131602584,90000000,پرداخت شارژ ساختمان,2021-12-16
116,9131602584,60000000,پرداخت شارژ ساختمان,2022-1-17
117,9888689192,90000000,پرداخت شارژ ساختمان,2006-11-11
118,9888689192,10000000,پرداخت شارژ ساختمان,2006-12-13
119,9888689192,600000,پرداخت شارژ ساختمان,2007-1-20
120,9888689192,20000000,پرداخت شارژ ساختمان,2007-2-12
121,9888689192,900000,پرداخت شارژ ساختمان,2007-3-19
122,9888689192,900000,پرداخت شارژ ساختمان,2007-4-19
123,9888689192,60000000,پرداخت شارژ ساختمان,2007-5-18
124,9888689192,900000,پرداخت شارژ ساختمان,2007-6-11
125,9888689192,200000,پرداخت شارژ ساختمان,2007-7-12
126,9888689192,10000000,پرداخت شارژ ساختمان,2007-8-14
127,9888689192,500000,پرداخت شارژ ساختمان,2007-9-17
128,9888689192,40000000,پرداخت شارژ ساختمان,2007-10-20
129,9888689192,700000,پرداخت شارژ ساختمان,2007-11-14
130,9888689192,20000000,پرداخت شارژ ساختمان,2007-12-17
131,9888689192,5000000,پرداخت شارژ ساختمان,2008-1-16
132,9888689192,2000000,پرداخت شارژ ساختمان,2008-2-15
133,9888689192,80000000,پرداخت شارژ ساختمان,2008-3-19
134,9888689192,10000000,پرداخت شارژ ساختمان,2008-4-11
135,9888689192,800000,پرداخت شارژ ساختمان,2008-5-11
136,9888689192,20000000,پرداخت شارژ ساختمان,2008-6-15
137,9888689192,40000000,پرداخت شارژ ساختمان,2008-7-15
138,9888689192,4000000,پرداخت شارژ ساختمان,2008-8-15
139,9888689192,60000000,پرداخت شارژ ساختمان,2008-9-11
140,9888689192,1000000,پرداخت شارژ ساختمان,2008-10-18
141,9888689192,8000000,پرداخت شارژ ساختمان,2008-11-15
142,9888689192,20000000,پرداخت شارژ ساختمان,2008-12-16
143,9888689192,90000000,پرداخت شارژ ساختمان,2009-1-14
144,9888689192,2000000,پرداخت شارژ ساختمان,2009-2-12
145,9888689192,300000,پرداخت شارژ ساختمان,2009-3-19
146,9888689192,3000000,پرداخت شارژ ساختمان,2009-4-14
147,9888689192,3000000,پرداخت شارژ ساختمان,2009-5-17
148,9888689192,30000000,پرداخت شارژ ساختمان,2009-6-17
149,9888689192,90000000,پرداخت شارژ ساختمان,2009-7-15
150,9888689192,3000000,پرداخت شارژ ساختمان,2009-8-17
151,9888689192,60000000,پرداخت شارژ ساختمان,2009-9-20
152,9888689192,3000000,پرداخت شارژ ساختمان,2009-10-11
153,9888689192,900000,پرداخت شارژ ساختمان,2009-11-10
154,9888689192,900000,پرداخت شارژ ساختمان,2009-12-19
155,9888689192,4000000,پرداخت شارژ ساختمان,2010-1-18
156,9888689192,400000,پرداخت شارژ ساختمان,2010-2-11
157,9888689192,300000,پرداخت شارژ ساختمان,2010-3-20
158,9888689192,8000000,پرداخت شارژ ساختمان,2010-4-18
159,9888689192,600000,پرداخت شارژ ساختمان,2010-5-10
160,9888689192,700000,پرداخت شارژ ساختمان,2010-6-17
161,9888689192,100000,پرداخت شارژ ساختمان,2010-7-12
162,9888689192,200000,پرداخت شارژ ساختمان,2010-8-20
163,9888689192,7000000,پرداخت شارژ ساختمان,2010-9-10
164,9888689192,900000,پرداخت شارژ ساختمان,2010-10-20
165,9888689192,3000000,پرداخت شارژ ساختمان,2010-11-12
166,9888689192,10000000,پرداخت شارژ ساختمان,2010-12-13
167,9888689192,900000,پرداخت شارژ ساختمان,2011-1-19
168,9888689192,9000000,پرداخت شارژ ساختمان,2011-2-19
169,9888689192,90000000,پرداخت شارژ ساختمان,2011-3-18
170,9888689192,3000000,پرداخت شارژ ساختمان,2011-4-18
171,9888689192,3000000,پرداخت شارژ ساختمان,2011-5-19
172,9888689192,600000,پرداخت شارژ ساختمان,2011-6-11
173,9888689192,10000000,پرداخت شارژ ساختمان,2011-7-19
174,9888689192,8000000,پرداخت شارژ ساختمان,2011-8-11
175,9888689192,70000000,پرداخت شارژ ساختمان,2011-9-19
176,9888689192,900000,پرداخت شارژ ساختمان,2011-10-18
177,9888689192,1000000,پرداخت شارژ ساختمان,2011-11-18
178,9888689192,9000000,پرداخت شارژ ساختمان,2011-12-16
179,9888689192,300000,پرداخت شارژ ساختمان,2012-1-13
180,9888689192,200000,پرداخت شارژ ساختمان,2012-2-16
181,9888689192,300000,پرداخت شارژ ساختمان,2012-3-12
182,9888689192,5000000,پرداخت شارژ ساختمان,2012-4-15
183,9888689192,200000,پرداخت شارژ ساختمان,2012-5-18
184,9888689192,80000000,پرداخت شارژ ساختمان,2012-6-11
185,9888689192,10000000,پرداخت شارژ ساختمان,2012-7-12
186,9888689192,500000,پرداخت شارژ ساختمان,2012-8-12
187,9888689192,900000,پرداخت شارژ ساختمان,2012-9-20
188,9888689192,500000,پرداخت شارژ ساختمان,2012-10-19
189,9888689192,50000000,پرداخت شارژ ساختمان,2012-11-19
190,9888689192,900000,پرداخت شارژ ساختمان,2012-12-16
191,9888689192,7000000,پرداخت شارژ ساختمان,2013-1-15
192,9888689192,100000,پرداخت شارژ ساختمان,2013-2-20
193,9888689192,800000,پرداخت شارژ ساختمان,2013-3-11
194,9888689192,5000000,پرداخت شارژ ساختمان,2013-4-12
195,9888689192,3000000,پرداخت شارژ ساختمان,2013-5-18
196,9888689192,70000000,پرداخت شارژ ساختمان,2013-6-15
197,9888689192,70000000,پرداخت شارژ ساختمان,2013-7-13
198,9888689192,50000000,پرداخت شارژ ساختمان,2013-8-13
199,9888689192,80000000,پرداخت شارژ ساختمان,2013-9-19
200,9888689192,5000000,پرداخت شارژ ساختمان,2013-10-20
201,9888689192,3000000,پرداخت شارژ ساختمان,2013-11-10
202,9888689192,300000,پرداخت شارژ ساختمان,2013-12-10
203,9888689192,100000,پرداخت شارژ ساختمان,2014-1-15
204,9888689192,20000000,پرداخت شارژ ساختمان,2014-2-11
205,9888689192,10000000,پرداخت شارژ ساختمان,2014-3-15
206,9888689192,10000000,پرداخت شارژ ساختمان,2014-4-10
207,9888689192,6000000,پرداخت شارژ ساختمان,2014-5-11
208,9888689192,9000000,پرداخت شارژ ساختمان,2014-6-17
209,9888689192,100000,پرداخت شارژ ساختمان,2014-7-17
210,9888689192,300000,پرداخت شارژ ساختمان,2014-8-18
211,9888689192,70000000,پرداخت شارژ ساختمان,2014-9-16
212,9888689192,1000000,پرداخت شارژ ساختمان,2014-10-11
213,9888689192,300000,پرداخت شارژ ساختمان,2014-11-16
214,9888689192,400000,پرداخت شارژ ساختمان,2014-12-10
215,9888689192,300000,پرداخت شارژ ساختمان,2015-1-16
216,9888689192,900000,پرداخت شارژ ساختمان,2015-2-10
217,9888689192,5000000,پرداخت شارژ ساختمان,2015-3-10
218,9888689192,900000,پرداخت شارژ ساختمان,2015-4-19
219,9888689192,300000,پرداخت شارژ ساختمان,2015-5-10
220,9888689192,7000000,پرداخت شارژ ساختمان,2015-6-16
221,9888689192,50000000,پرداخت شارژ ساختمان,2015-7-13
222,9888689192,40000000,پرداخت شارژ ساختمان,2015-8-15
223,9888689192,50000000,پرداخت شارژ ساختمان,2015-9-16
224,9888689192,6000000,پرداخت شارژ ساختمان,2015-10-16
225,9888689192,500000,پرداخت شارژ ساختمان,2015-11-18
226,9888689192,6000000,پرداخت شارژ ساختمان,2015-12-10
227,9888689192,5000000,پرداخت شارژ ساختمان,2016-1-11
228,9888689192,50000000,پرداخت شارژ ساختمان,2016-2-11
229,9888689192,900000,پرداخت شارژ ساختمان,2016-3-14
230,9888689192,3000000,پرداخت شارژ ساختمان,2016-4-15
231,9888689192,7000000,پرداخت شارژ ساختمان,2016-5-18
232,9888689192,700000,پرداخت شارژ ساختمان,2016-6-19
233,9888689192,8000000,پرداخت شارژ ساختمان,2016-7-15
234,9888689192,100000,پرداخت شارژ ساختمان,2016-8-20
235,9888689192,5000000,پرداخت شارژ ساختمان,2016-9-13
236,9888689192,700000,پرداخت شارژ ساختمان,2016-10-13
237,9888689192,40000000,پرداخت شارژ ساختمان,2016-11-16
238,9888689192,4000000,پرداخت شارژ ساختمان,2016-12-15
239,9888689192,40000000,پرداخت شارژ ساختمان,2017-1-19
240,9888689192,3000000,پرداخت شارژ ساختمان,2017-2-16
241,9888689192,4000000,پرداخت شارژ ساختمان,2017-3-10
242,9888689192,500000,پرداخت شارژ ساختمان,2017-4-13
243,9888689192,90000000,پرداخت شارژ ساختمان,2017-5-16
244,9888689192,5000000,پرداخت شارژ ساختمان,2017-6-16
245,9888689192,100000,پرداخت شارژ ساختمان,2017-7-16
246,9888689192,40000000,پرداخت شارژ ساختمان,2017-8-15
247,9888689192,6000000,پرداخت شارژ ساختمان,2017-9-14
248,9888689192,100000,پرداخت شارژ ساختمان,2017-10-10
249,9888689192,80000000,پرداخت شارژ ساختمان,2017-11-13
250,9888689192,20000000,پرداخت شارژ ساختمان,2017-12-19
251,9888689192,80000000,پرداخت شارژ ساختمان,2018-1-18
252,9888689192,1000000,پرداخت شارژ ساختمان,2018-2-12
253,9888689192,8000000,پرداخت شارژ ساختمان,2018-3-19
254,9888689192,40000000,پرداخت شارژ ساختمان,2018-4-12
255,9888689192,900000,پرداخت شارژ ساختمان,2018-5-12
256,9888689192,3000000,پرداخت شارژ ساختمان,2018-6-12
257,9888689192,10000000,پرداخت شارژ ساختمان,2018-7-15
258,9888689192,20000000,پرداخت شارژ ساختمان,2018-8-19
259,9888689192,300000,پرداخت شارژ ساختمان,2018-9-20
260,9888689192,30000000,پرداخت شارژ ساختمان,2018-10-10
261,9888689192,90000000,پرداخت شارژ ساختمان,2018-11-10
262,9888689192,500000,پرداخت شارژ ساختمان,2018-12-12
263,9888689192,50000000,پرداخت شارژ ساختمان,2019-1-12
264,9888689192,300000,پرداخت شارژ ساختمان,2019-2-12
265,9888689192,5000000,پرداخت شارژ ساختمان,2019-3-20
266,9888689192,300000,پرداخت شارژ ساختمان,2019-4-11
267,9888689192,20000000,پرداخت شارژ ساختمان,2019-5-11
268,9888689192,400000,پرداخت شارژ ساختمان,2019-6-12
269,9888689192,1000000,پرداخت شارژ ساختمان,2019-7-19
270,9888689192,700000,پرداخت شارژ ساختمان,2019-8-11
271,9888689192,9000000,پرداخت شارژ ساختمان,2019-9-17
272,9888689192,4000000,پرداخت شارژ ساختمان,2019-10-19
273,9888689192,3000000,پرداخت شارژ ساختمان,2019-11-12
274,9888689192,7000000,پرداخت شارژ ساختمان,2019-12-19
275,9888689192,600000,پرداخت شارژ ساختمان,2020-1-11
276,9888689192,4000000,پرداخت شارژ ساختمان,2020-2-17
277,9888689192,1000000,پرداخت شارژ ساختمان,2020-3-13
278,9888689192,700000,پرداخت شارژ ساختمان,2020-4-14
279,9888689192,50000000,پرداخت شارژ ساختمان,2020-5-11
280,9888689192,500000,پرداخت شارژ ساختمان,2020-6-18
281,9888689192,7000000,پرداخت شارژ ساختمان,2020-7-14
282,9888689192,6000000,پرداخت شارژ ساختمان,2020-8-10
283,9888689192,9000000,پرداخت شارژ ساختمان,2020-9-15
284,9888689192,4000000,پرداخت شارژ ساختمان,2020-10-12
285,9888689192,300000,پرداخت شارژ ساختمان,2020-11-20
286,9888689192,90000000,پرداخت شارژ ساختمان,2020-12-19
287,9888689192,70000000,پرداخت شارژ ساختمان,2021-1-15
288,9888689192,600000,پرداخت شارژ ساختمان,2021-2-18
289,9888689192,700000,پرداخت شارژ ساختمان,2021-3-18
290,9888689192,9000000,پرداخت شارژ ساختمان,2021-4-18
291,9888689192,70000000,پرداخت شارژ ساختمان,2021-5-17
292,9888689192,500000,پرداخت شارژ ساختمان,2021-6-13
293,9888689192,50000000,پرداخت شارژ ساختمان,2021-7-18
294,9888689192,9000000,پرداخت شارژ ساختمان,2021-8-15
295,9888689192,50000000,پرداخت شارژ ساختمان,2021-9-14
296,9888689192,400000,پرداخت شارژ ساختمان,2021-10-19
297,9888689192,50000000,پرداخت شارژ ساختمان,2021-11-18
298,9888689192,900000,پرداخت شارژ ساختمان,2021-12-17
299,9888689192,70000000,پرداخت شارژ ساختمان,2022-1-19
300,9761005115,9000000,پرداخت شارژ ساختمان,2017-9-12
301,9761005115,20000000,پرداخت شارژ ساختمان,2017-10-11
302,9761005115,3000000,پرداخت شارژ ساختمان,2017-11-11
303,9761005115,30000000,پرداخت شارژ ساختمان,2017-12-14
304,9761005115,8000000,پرداخت شارژ ساختمان,2018-1-13
305,9761005115,900000,پرداخت شارژ ساختمان,2018-2-18
306,9761005115,90000000,پرداخت شارژ ساختمان,2018-3-18
307,9761005115,20000000,پرداخت شارژ ساختمان,2018-4-11
308,9761005115,800000,پرداخت شارژ ساختمان,2018-5-12
309,9761005115,20000000,پرداخت شارژ ساختمان,2018-6-17
310,9761005115,80000000,پرداخت شارژ ساختمان,2018-7-13
311,9761005115,6000000,پرداخت شارژ ساختمان,2018-8-20
312,9761005115,5000000,پرداخت شارژ ساختمان,2018-9-20
313,9761005115,900000,پرداخت شارژ ساختمان,2018-10-14
314,9761005115,500000,پرداخت شارژ ساختمان,2018-11-13
315,9761005115,400000,پرداخت شارژ ساختمان,2018-12-12
316,9761005115,3000000,پرداخت شارژ ساختمان,2019-1-18
317,9761005115,50000000,پرداخت شارژ ساختمان,2019-2-18
318,9761005115,60000000,پرداخت شارژ ساختمان,2019-3-10
319,9761005115,500000,پرداخت شارژ ساختمان,2019-4-16
320,9761005115,8000000,پرداخت شارژ ساختمان,2019-5-20
321,9761005115,70000000,پرداخت شارژ ساختمان,2019-6-18
322,9761005115,100000,پرداخت شارژ ساختمان,2019-7-15
323,9761005115,5000000,پرداخت شارژ ساختمان,2019-8-11
324,9761005115,5000000,پرداخت شارژ ساختمان,2019-9-20
325,9761005115,4000000,پرداخت شارژ ساختمان,2019-10-10
326,9761005115,100000,پرداخت شارژ ساختمان,2019-11-19
327,9761005115,90000000,پرداخت شارژ ساختمان,2019-12-15
328,9761005115,50000000,پرداخت شارژ ساختمان,2020-1-20
329,9761005115,900000,پرداخت شارژ ساختمان,2020-2-17
330,9761005115,5000000,پرداخت شارژ ساختمان,2020-3-13
331,9761005115,400000,پرداخت شارژ ساختمان,2020-4-12
332,9761005115,500000,پرداخت شارژ ساختمان,2020-5-15
333,9761005115,60000000,پرداخت شارژ ساختمان,2020-6-20
334,9761005115,700000,پرداخت شارژ ساختمان,2020-7-18
335,9761005115,10000000,پرداخت شارژ ساختمان,2020-8-14
336,9761005115,300000,پرداخت شارژ ساختمان,2020-9-12
337,9761005115,3000000,پرداخت شارژ ساختمان,2020-10-10
338,9761005115,2000000,پرداخت شارژ ساختمان,2020-11-11
339,9761005115,80000000,پرداخت شارژ ساختمان,2020-12-15
340,9761005115,60000000,پرداخت شارژ ساختمان,2021-1-16
341,9761005115,70000000,پرداخت شارژ ساختمان,2021-2-18
342,9761005115,5000000,پرداخت شارژ ساختمان,2021-3-12
343,9761005115,700000,پرداخت شارژ ساختمان,2021-4-15
344,9761005115,600000,پرداخت شارژ ساختمان,2021-5-17
345,9761005115,3000000,پرداخت شارژ ساختمان,2021-6-19
346,9761005115,50000000,پرداخت شارژ ساختمان,2021-7-15
347,9761005115,300000,پرداخت شارژ ساختمان,2021-8-16
348,9761005115,20000000,پرداخت شارژ ساختمان,2021-9-12
349,9761005115,90000000,پرداخت شارژ ساختمان,2021-10-13
350,9761005115,60000000,پرداخت شارژ ساختمان,2021-11-10
351,9761005115,40000000,پرداخت شارژ ساختمان,2021-12-17
352,9761005115,400000,پرداخت شارژ ساختمان,2022-1-13
353,9851121429,9000000,پرداخت شارژ ساختمان,2020-9-15
354,9851121429,8000000,پرداخت شارژ ساختمان,2020-10-11
355,9851121429,10000000,پرداخت شارژ ساختمان,2020-11-14
356,9851121429,1000000,پرداخت شارژ ساختمان,2020-12-10
357,9851121429,800000,پرداخت شارژ ساختمان,2021-1-12
358,9851121429,200000,پرداخت شارژ ساختمان,2021-2-20
359,9851121429,300000,پرداخت شارژ ساختمان,2021-3-10
360,9851121429,7000000,پرداخت شارژ ساختمان,2021-4-13
361,9851121429,7000000,پرداخت شارژ ساختمان,2021-5-11
362,9851121429,4000000,پرداخت شارژ ساختمان,2021-6-12
363,9851121429,7000000,پرداخت شارژ ساختمان,2021-7-13
364,9851121429,900000,پرداخت شارژ ساختمان,2021-8-10
365,9851121429,10000000,پرداخت شارژ ساختمان,2021-9-11
366,9851121429,9000000,پرداخت شارژ ساختمان,2021-10-11
367,9851121429,1000000,پرداخت شارژ ساختمان,2021-11-11
368,9851121429,500000,پرداخت شارژ ساختمان,2021-12-13
369,9851121429,50000000,پرداخت شارژ ساختمان,2022-1-16
370,9284616046,30000000,پرداخت شارژ ساختمان,2011-1-16
371,9284616046,2000000,پرداخت شارژ ساختمان,2011-2-18
372,9284616046,10000000,پرداخت شارژ ساختمان,2011-3-10
373,9284616046,900000,پرداخت شارژ ساختمان,2011-4-20
374,9284616046,900000,پرداخت شارژ ساختمان,2011-5-16
375,9284616046,1000000,پرداخت شارژ ساختمان,2011-6-13
376,9284616046,1000000,پرداخت شارژ ساختمان,2011-7-13
377,9284616046,900000,پرداخت شارژ ساختمان,2011-8-20
378,9284616046,500000,پرداخت شارژ ساختمان,2011-9-13
379,9284616046,5000000,پرداخت شارژ ساختمان,2011-10-14
380,9284616046,40000000,پرداخت شارژ ساختمان,2011-11-15
381,9284616046,20000000,پرداخت شارژ ساختمان,2011-12-13
382,9284616046,600000,پرداخت شارژ ساختمان,2012-1-11
383,9284616046,3000000,پرداخت شارژ ساختمان,2012-2-13
384,9284616046,100000,پرداخت شارژ ساختمان,2012-3-20
385,9284616046,90000000,پرداخت شارژ ساختمان,2012-4-16
386,9284616046,400000,پرداخت شارژ ساختمان,2012-5-10
387,9284616046,300000,پرداخت شارژ ساختمان,2012-6-15
388,9284616046,300000,پرداخت شارژ ساختمان,2012-7-14
389,9284616046,5000000,پرداخت شارژ ساختمان,2012-8-19
390,9284616046,5000000,پرداخت شارژ ساختمان,2012-9-17
391,9284616046,10000000,پرداخت شارژ ساختمان,2012-10-15
392,9284616046,900000,پرداخت شارژ ساختمان,2012-11-11
393,9284616046,10000000,پرداخت شارژ ساختمان,2012-12-13
394,9284616046,800000,پرداخت شارژ ساختمان,2013-1-11
395,9284616046,20000000,پرداخت شارژ ساختمان,2013-2-20
396,9284616046,7000000,پرداخت شارژ ساختمان,2013-3-15
397,9284616046,3000000,پرداخت شارژ ساختمان,2013-4-16
398,9284616046,50000000,پرداخت شارژ ساختمان,2013-5-12
399,9284616046,60000000,پرداخت شارژ ساختمان,2013-6-12
400,9284616046,50000000,پرداخت شارژ ساختمان,2013-7-20
401,9284616046,9000000,پرداخت شارژ ساختمان,2013-8-11
402,9284616046,60000000,پرداخت شارژ ساختمان,2013-9-19
403,9284616046,20000000,پرداخت شارژ ساختمان,2013-10-11
404,9284616046,5000000,پرداخت شارژ ساختمان,2013-11-20
405,9284616046,70000000,پرداخت شارژ ساختمان,2013-12-17
406,9284616046,200000,پرداخت شارژ ساختمان,2014-1-17
407,9284616046,800000,پرداخت شارژ ساختمان,2014-2-17
408,9284616046,300000,پرداخت شارژ ساختمان,2014-3-19
409,9284616046,100000,پرداخت شارژ ساختمان,2014-4-18
410,9284616046,8000000,پرداخت شارژ ساختمان,2014-5-17
411,9284616046,600000,پرداخت شارژ ساختمان,2014-6-13
412,9284616046,20000000,پرداخت شارژ ساختمان,2014-7-19
413,9284616046,90000000,پرداخت شارژ ساختمان,2014-8-17
414,9284616046,6000000,پرداخت شارژ ساختمان,2014-9-20
415,9284616046,400000,پرداخت شارژ ساختمان,2014-10-18
416,9284616046,3000000,پرداخت شارژ ساختمان,2014-11-10
417,9284616046,70000000,پرداخت شارژ ساختمان,2014-12-15
418,9284616046,3000000,پرداخت شارژ ساختمان,2015-1-17
419,9284616046,10000000,پرداخت شارژ ساختمان,2015-2-16
420,9284616046,5000000,پرداخت شارژ ساختمان,2015-3-13
421,9284616046,200000,پرداخت شارژ ساختمان,2015-4-12
422,9284616046,60000000,پرداخت شارژ ساختمان,2015-5-16
423,9284616046,800000,پرداخت شارژ ساختمان,2015-6-20
424,9284616046,400000,پرداخت شارژ ساختمان,2015-7-12
425,9284616046,5000000,پرداخت شارژ ساختمان,2015-8-12
426,9284616046,2000000,پرداخت شارژ ساختمان,2015-9-11
427,9284616046,8000000,پرداخت شارژ ساختمان,2015-10-15
